,Treated_1,Treated_2,Treated_3,Untreated_1,Untreated_2,Untreated_3,Untreated_4
ID=FBgn0030006,130,132,208,131,155,169,123
ID=FBgn0030007,629,1118,1504,691,1057,1012,855
ID=FBgn0030008,191,272,385,201,284,277,202
ID=FBgn0030010,77,101,123,74,86,91,84
ID=FBgn0030012,164,376,509,196,302,271,220
ID=FBgn0030013,304,512,728,386,476,558,538
ID=FBgn0030017,150,203,249,169,210,197,175
ID=FBgn0030018,1316,1813,2403,1539,2142,1736,1758
ID=FBgn0030025,325,354,425,372,281,309,292
ID=FBgn0030026,728,850,1144,629,646,684,683
ID=FBgn0030030,198,193,205,161,177,229,231
ID=FBgn0030034,1122,1567,1743,1182,2129,1315,1510
ID=FBgn0030035,1089,2204,2711,1131,1742,1812,1732
ID=FBgn0030037,1109,1280,1576,740,796,764,770
ID=FBgn0030038,1917,2692,3667,1715,2288,2666,2706
ID=FBgn0030039,166,221,303,174,228,267,318
ID=FBgn0030040,1853,3315,4728,1677,2403,2567,2384
ID=FBgn0030041,20,19,31,121,188,196,86
ID=FBgn0030048,896,725,942,924,737,818,1058
ID=FBgn0030049,2149,3218,4386,2910,4094,3457,2401
ID=FBgn0030052,4850,8257,10774,7464,10872,9503,8946
ID=FBgn0030053,469,782,1027,406,582,572,572
ID=FBgn0030054,1859,2768,3695,2799,3990,3092,2525
ID=FBgn0030055,255,367,591,316,449,422,395
ID=FBgn0030056,1680,1906,2367,1349,1796,1603,1670
ID=FBgn0030057,424,486,701,337,365,433,426
ID=FBgn0030060,589,876,1045,590,797,746,771
ID=FBgn0030061,637,917,1156,781,929,959,884
ID=FBgn0030063,204,230,396,244,275,311,300
ID=FBgn0030065,1122,2170,3071,1179,2172,1867,2467
ID=FBgn0030066,259,234,349,275,305,369,264
ID=FBgn0030067,1446,2334,3196,2000,2558,2850,2567
ID=FBgn0030073,640,1404,1961,851,1697,1609,1438
ID=FBgn0030077,298,477,764,419,718,638,521
ID=FBgn0030081,187,307,402,199,309,307,335
ID=FBgn0030082,491,643,823,535,637,621,574
ID=FBgn0030086,5820,9613,12560,5256,8532,8517,8983
ID=FBgn0030087,2184,3551,4568,2396,3491,3071,2889
ID=FBgn0030088,195,236,217,201,193,207,209
ID=FBgn0030089,1969,3144,4073,2032,3502,2834,2944
ID=FBgn0030090,193,149,202,205,229,215,415
ID=FBgn0030091,911,1340,1673,961,1308,1124,1066
ID=FBgn0030092,135,231,327,137,200,214,210
ID=FBgn0030093,1405,2609,2954,1565,2748,1973,1742
ID=FBgn0030096,378,649,870,414,704,668,560
ID=FBgn0030099,316,434,603,294,443,464,302
ID=FBgn0030100,129,182,240,139,162,148,156
ID=FBgn0030101,170,199,261,149,165,166,170
ID=FBgn0030109,2301,3033,3699,2645,2876,2908,3235
ID=FBgn0030114,885,1196,1717,1174,1833,1587,991
ID=FBgn0030121,384,530,794,488,645,582,447
ID=FBgn0030122,429,551,752,358,546,526,607
ID=FBgn0030136,20210,21236,28097,25899,22329,27289,20173
ID=FBgn0030137,84,90,82,111,87,111,98
ID=FBgn0030141,585,984,1357,642,934,790,816
ID=FBgn0030151,1339,1985,2636,1157,1765,1674,1905
ID=FBgn0030177,390,664,865,439,716,775,658
ID=FBgn0030178,68,107,163,70,104,115,132
ID=FBgn0030183,151,122,163,179,155,121,95
ID=FBgn0030189,450,545,676,341,426,495,321
ID=FBgn0030196,289,349,470,276,246,287,303
ID=FBgn0030206,720,927,1220,845,887,864,791
ID=FBgn0030208,1216,1452,1742,1172,1384,1303,1237
ID=FBgn0030217,218,347,388,201,288,260,259
ID=FBgn0030218,223,375,413,221,278,300,256
ID=FBgn0030228,297,467,663,381,571,458,406
ID=FBgn0030230,690,986,1353,695,1214,1051,1045
ID=FBgn0030234,503,333,409,453,389,275,369
ID=FBgn0030237,1659,1642,2428,3000,3077,3568,3252
ID=FBgn0030239,317,418,486,308,334,390,356
ID=FBgn0030240,489,886,1242,747,1128,960,873
ID=FBgn0030241,1096,1879,2419,865,1527,1332,1232
ID=FBgn0030242,150,244,339,139,209,238,206
ID=FBgn0030243,1403,2341,2722,1647,3031,2300,2197
ID=FBgn0030245,1728,2668,3696,2333,2937,3161,2684
ID=FBgn0030246,1376,2060,2521,1435,2039,1830,1571
ID=FBgn0030263,1441,2366,3195,1476,2026,2316,1941
ID=FBgn0030266,1874,3427,3989,2231,4041,2867,2348
ID=FBgn0030268,3372,5229,6702,3214,4975,3878,4247
ID=FBgn0030269,471,691,840,496,658,632,659
ID=FBgn0030274,358,720,931,394,696,645,701
ID=FBgn0030276,2026,2375,3077,2430,2894,2462,2706
ID=FBgn0030286,1397,2496,3222,1611,2888,2492,2069
ID=FBgn0030289,736,1499,1900,760,1470,1312,1348
ID=FBgn0030291,106,118,135,176,115,122,119
ID=FBgn0030292,199,271,329,228,275,220,263
ID=FBgn0030293,1300,2151,2539,1434,2184,1912,1913
ID=FBgn0030300,101,114,151,118,187,150,138
ID=FBgn0030301,1019,1242,1561,1113,1384,1138,1176
ID=FBgn0030305,603,876,926,436,510,552,559
ID=FBgn0030306,1056,1346,1674,1236,1339,1358,1308
ID=FBgn0030309,6208,9167,12535,7770,8891,9496,12337
ID=FBgn0030310,2040,2958,4151,1617,2438,3047,3203
ID=FBgn0030311,695,956,1252,896,1026,878,770
ID=FBgn0030314,492,793,1063,631,813,774,601
ID=FBgn0030316,733,1344,1783,776,1264,1232,973
ID=FBgn0030317,75,116,172,75,90,125,117
ID=FBgn0030318,2261,3607,4345,1969,2418,2355,2723
ID=FBgn0030320,866,1026,1224,825,914,831,929
ID=FBgn0030321,2969,3860,4960,3453,3856,3645,3193
ID=FBgn0030323,147,219,261,168,206,193,174
ID=FBgn0030326,81,121,109,119,205,287,256
ID=FBgn0030327,291,491,685,349,552,524,429
ID=FBgn0030328,1853,2752,3594,2254,2855,2515,2110
ID=FBgn0030329,749,1052,1333,802,1020,1131,1009
ID=FBgn0030330,276,506,668,306,489,445,431
ID=FBgn0030331,1188,1738,2241,1190,1747,1723,1827
ID=FBgn0030332,367,723,1028,430,680,741,620
ID=FBgn0030334,9403,12106,16536,9494,11784,12335,13532
ID=FBgn0030336,1180,1992,2505,1184,2005,1734,1571
ID=FBgn0030340,648,1435,1984,811,1503,1265,1396
ID=FBgn0030341,1134,1601,2209,1063,1377,1527,1280
ID=FBgn0030342,444,696,988,450,819,738,770
ID=FBgn0030343,1583,2744,3481,1164,1977,1593,1782
ID=FBgn0030344,1797,2018,2537,1474,1653,1574,1834
ID=FBgn0030345,255,335,450,212,280,353,283
ID=FBgn0030346,120,237,332,129,202,216,163
ID=FBgn0030347,197,364,418,285,370,385,397
ID=FBgn0030349,1403,2032,2439,2243,2908,2586,2836
ID=FBgn0030350,701,1064,1324,743,912,1068,865
ID=FBgn0030351,189,162,203,126,118,151,193
ID=FBgn0030352,229,361,403,237,285,337,310
ID=FBgn0030354,1627,2417,3155,2066,2756,2515,2380
ID=FBgn0030357,103,77,96,97,88,109,152
ID=FBgn0030358,169,274,329,177,313,341,255
ID=FBgn0030361,166,194,294,117,116,140,131
ID=FBgn0030362,4280,7360,9414,6637,8773,10187,8954
ID=FBgn0030364,664,713,986,617,544,631,659
ID=FBgn0030365,571,1082,1451,661,1047,981,846
ID=FBgn0030366,4262,5170,6339,4585,5082,4859,4808
ID=FBgn0030373,287,400,479,334,243,331,280
ID=FBgn0030377,33,382,475,97,313,378,212
ID=FBgn0030391,290,443,660,248,409,394,439
ID=FBgn0030400,1351,1797,2082,1541,2135,1423,1378
ID=FBgn0030403,691,1293,1732,881,1587,1502,1315
ID=FBgn0030406,213,222,321,207,249,237,290
ID=FBgn0030410,79,151,229,70,132,110,129
ID=FBgn0030411,107,163,154,80,139,145,103
ID=FBgn0030412,1283,1538,1861,1673,2060,1736,1859
ID=FBgn0030417,121,124,124,187,200,158,67
ID=FBgn0030418,428,406,550,355,511,487,417
ID=FBgn0030420,1214,1135,1359,1504,1500,1232,1319
ID=FBgn0030421,708,436,488,852,650,525,806
ID=FBgn0030431,417,621,807,486,615,600,704
ID=FBgn0030433,554,727,918,352,491,562,637
ID=FBgn0030434,585,1028,1334,790,1145,1091,981
ID=FBgn0030435,787,1033,1189,689,925,951,1032
ID=FBgn0030447,499,804,1099,423,617,787,737
ID=FBgn0030451,1457,2248,2852,1930,2788,2920,2723
ID=FBgn0030452,1493,2258,2856,1951,2808,2937,2756
ID=FBgn0030456,729,1056,1302,607,785,744,865
ID=FBgn0030457,538,676,863,517,639,602,673
ID=FBgn0030460,438,578,811,310,493,620,529
ID=FBgn0030465,460,751,1029,561,923,911,714
ID=FBgn0030466,2359,4456,5308,2077,3552,2982,3028
ID=FBgn0030467,2193,3361,4301,2359,3214,2958,3079
ID=FBgn0030468,1362,2146,2802,1649,2310,2036,2043
ID=FBgn0030474,1050,1211,1714,1062,1143,1050,1055
ID=FBgn0030478,1203,1815,2226,1446,1944,2116,1924
ID=FBgn0030479,854,720,889,1094,849,640,825
ID=FBgn0030480,271,260,286,150,210,274,336
ID=FBgn0030481,515,724,899,545,569,688,661
ID=FBgn0030482,3326,4743,6188,4282,5937,5229,6011
ID=FBgn0030484,1174,1621,2042,1301,1500,1507,1391
ID=FBgn0030485,410,500,713,360,334,369,291
ID=FBgn0030486,2049,2966,3787,2148,3121,2569,2313
ID=FBgn0030499,612,1076,1409,655,1093,894,806
ID=FBgn0030500,595,911,1061,618,873,722,663
ID=FBgn0030501,1004,1299,1797,1293,1584,1605,1636
ID=FBgn0030502,2364,2954,3546,2809,3880,3069,3094
ID=FBgn0030503,159,266,276,167,204,213,151
ID=FBgn0030504,2449,4014,4550,2708,3861,3754,3869
ID=FBgn0030505,2399,2536,3079,3250,3665,2637,2555
ID=FBgn0030506,427,513,703,380,475,562,430
ID=FBgn0030507,284,413,539,361,363,533,530
ID=FBgn0030510,307,646,914,299,535,564,436
ID=FBgn0030511,198,272,324,193,227,233,263
ID=FBgn0030512,1525,1908,2494,1486,2136,1853,1926
ID=FBgn0030514,1201,2057,2727,1557,2269,2150,2001
ID=FBgn0030518,241,334,480,246,340,333,411
ID=FBgn0030519,871,1244,1862,991,1317,1534,1682
ID=FBgn0030520,5988,7258,9500,5960,7295,6593,5270
ID=FBgn0030521,4079,6230,8938,4395,6845,6962,5910
ID=FBgn0030522,234,373,421,228,300,359,388
ID=FBgn0030528,90,160,255,88,199,219,184
ID=FBgn0030529,7540,8922,11948,12271,13713,12765,14248
ID=FBgn0030530,1383,2505,3403,1584,2446,2079,1982
ID=FBgn0030545,272,457,666,231,296,354,377
ID=FBgn0030552,385,615,957,414,638,620,603
ID=FBgn0030554,206,360,449,249,410,381,393
ID=FBgn0030555,156,317,385,175,287,268,280
ID=FBgn0030556,1046,1980,2500,1327,1946,1938,1676
ID=FBgn0030571,198,374,405,262,262,305,309
ID=FBgn0030572,281,392,534,372,396,440,450
ID=FBgn0030576,225,341,372,366,423,345,411
ID=FBgn0030581,410,663,803,486,757,558,599
ID=FBgn0030582,853,1289,1673,995,1140,1115,1380
ID=FBgn0030584,281,348,490,367,343,328,404
ID=FBgn0030588,287,245,426,190,170,239,179
ID=FBgn0030600,5470,8154,9747,5855,8406,7448,7940
ID=FBgn0030603,595,884,1115,694,822,748,829
ID=FBgn0030605,503,815,1197,631,891,916,821
ID=FBgn0030610,200,379,468,291,312,409,324
ID=FBgn0030611,102,167,219,141,135,166,180
ID=FBgn0030612,329,390,536,377,533,603,638
ID=FBgn0030615,85,103,97,73,130,98,102
ID=FBgn0030616,17525,30093,41373,23661,32784,36643,27145
ID=FBgn0030625,347,356,375,321,313,331,346
ID=FBgn0030628,468,746,983,546,643,564,728
ID=FBgn0030629,251,268,383,245,240,198,217
ID=FBgn0030630,606,876,1202,598,826,857,752
ID=FBgn0030631,1008,1619,1948,1219,1850,1715,1480
ID=FBgn0030638,898,1380,1812,762,1131,1131,1234
ID=FBgn0030640,577,939,1248,665,1048,998,956
ID=FBgn0030641,577,939,1248,665,1048,998,956
ID=FBgn0030642,287,490,670,326,537,551,521
ID=FBgn0030645,86,121,154,86,113,95,116
ID=FBgn0030648,358,474,660,432,546,462,485
ID=FBgn0030653,179,345,406,145,271,253,143
ID=FBgn0030654,90,113,174,99,193,121,153
ID=FBgn0030655,261,347,474,315,371,403,380
ID=FBgn0030657,97,102,142,97,80,123,109
ID=FBgn0030658,911,1461,1803,982,1452,1475,1481
ID=FBgn0030659,400,601,761,490,575,590,481
ID=FBgn0030660,195,276,273,140,198,195,201
ID=FBgn0030662,883,1443,1866,685,1063,920,743
ID=FBgn0030667,191,195,216,179,134,132,172
ID=FBgn0030668,200,298,381,204,274,294,335
ID=FBgn0030669,233,227,336,228,250,274,292
ID=FBgn0030670,603,655,871,671,759,753,1061
ID=FBgn0030671,277,366,451,268,396,393,362
ID=FBgn0030672,4625,6912,8957,5950,8876,8487,8577
ID=FBgn0030673,100,123,157,124,101,131,133
ID=FBgn0030674,7628,13952,15494,8776,14689,10808,10924
ID=FBgn0030675,128,161,257,77,164,160,157
ID=FBgn0030678,164,272,362,168,287,286,278
ID=FBgn0030679,306,536,755,436,508,572,571
ID=FBgn0030680,508,673,945,627,797,620,694
ID=FBgn0030683,158,336,343,173,317,324,392
ID=FBgn0030685,1907,2270,2993,2821,2998,2576,2871
ID=FBgn0030686,345,569,723,454,512,590,643
ID=FBgn0030687,634,1112,1320,619,1023,930,1105
ID=FBgn0030692,680,1080,1334,802,980,966,1013
ID=FBgn0030693,825,826,1061,855,955,889,1053
ID=FBgn0030694,246,277,364,253,271,297,263
ID=FBgn0030695,171,211,311,296,252,218,200
ID=FBgn0030699,717,944,1109,830,967,920,980
ID=FBgn0030701,1081,1650,1912,1295,1856,1556,1616
ID=FBgn0030703,2232,1901,2426,2424,2120,2187,2446
ID=FBgn0030704,239,191,267,207,188,227,242
ID=FBgn0030710,245,295,345,251,249,191,245
ID=FBgn0030711,271,197,280,322,249,282,326
ID=FBgn0030716,773,1190,1460,764,1058,824,822
ID=FBgn0030717,286,419,502,290,416,395,470
ID=FBgn0030718,986,1386,1840,865,1174,1241,1428
ID=FBgn0030719,3363,2967,3830,3455,3110,2822,3270
ID=FBgn0030720,1006,1687,2041,1230,1764,1731,1724
ID=FBgn0030721,106,82,100,78,134,74,105
ID=FBgn0030724,452,455,669,437,450,425,618
ID=FBgn0030731,898,1850,2297,1106,1854,1670,1704
ID=FBgn0030733,1815,2461,3434,1483,2112,2405,2566
ID=FBgn0030734,3471,3638,5102,4251,4010,4109,4425
ID=FBgn0030735,1159,1448,1804,1200,1762,1583,1759
ID=FBgn0030738,819,1099,1254,947,1319,1115,1177
ID=FBgn0030739,286,504,535,299,419,432,499
ID=FBgn0030740,3671,4500,5403,3576,3995,4385,5555
ID=FBgn0030743,155,254,319,135,200,266,349
ID=FBgn0030744,685,760,957,829,703,937,1026
ID=FBgn0030745,659,917,1292,707,806,930,1042
ID=FBgn0030747,1299,1962,2334,1219,1810,1616,1748
ID=FBgn0030748,1064,1254,1659,1050,1334,1362,1617
ID=FBgn0030749,1691,1807,2397,1603,1951,1766,1976
ID=FBgn0030752,3216,3906,5187,4155,5346,5070,5844
ID=FBgn0030753,1737,2223,3037,2067,2251,2231,2173
ID=FBgn0030757,281,326,334,284,281,290,261
ID=FBgn0030759,270,654,845,277,587,612,575
ID=FBgn0030761,378,577,784,434,579,576,544
ID=FBgn0030766,646,786,939,606,899,704,723
ID=FBgn0030768,613,1103,1361,433,772,770,799
ID=FBgn0030786,465,810,1158,633,927,895,804
ID=FBgn0030787,201,254,356,195,258,217,201
ID=FBgn0030788,532,544,694,686,533,590,544
ID=FBgn0030789,313,347,414,293,312,313,317
ID=FBgn0030790,981,893,1103,1017,997,840,919
ID=FBgn0030791,780,776,931,899,882,715,886
ID=FBgn0030792,652,1122,1586,663,1036,1120,845
ID=FBgn0030793,465,821,999,477,723,832,708
ID=FBgn0030795,143,169,260,158,191,184,164
ID=FBgn0030796,9217,14110,17720,8777,11780,11059,12185
ID=FBgn0030797,612,557,686,736,735,590,652
ID=FBgn0030799,195,254,354,131,193,241,166
ID=FBgn0030800,344,565,704,396,558,569,552
ID=FBgn0030801,494,562,849,482,537,598,672
ID=FBgn0030802,366,426,644,319,399,468,500
ID=FBgn0030803,377,464,618,425,475,428,526
ID=FBgn0030805,374,637,879,201,308,341,251
ID=FBgn0030806,301,362,456,272,364,321,255
ID=FBgn0030808,2662,3692,4454,3021,4212,3619,3231
ID=FBgn0030809,3449,4773,5578,3630,5140,4314,4523
ID=FBgn0030812,1697,2627,3052,2145,3064,2385,2230
ID=FBgn0030816,105,112,147,116,162,156,159
ID=FBgn0030817,110,117,161,122,168,165,172
ID=FBgn0030833,183,227,238,179,223,219,196
ID=FBgn0030834,289,491,656,411,484,485,469
ID=FBgn0030838,3922,4818,6674,4650,5968,5247,6139
ID=FBgn0030839,84,129,214,95,236,199,258
ID=FBgn0030850,1205,1282,1559,1053,1248,1190,1599
ID=FBgn0030851,174,185,222,138,163,189,185
ID=FBgn0030853,740,1312,1683,755,1189,1313,1174
ID=FBgn0030854,904,910,1122,819,664,762,893
ID=FBgn0030855,786,979,1268,902,1004,993,858
ID=FBgn0030858,942,1655,2089,920,1480,1545,1295
ID=FBgn0030863,2074,2177,2811,1803,1766,1610,1737
ID=FBgn0030864,663,706,926,574,540,598,636
ID=FBgn0030869,2129,2947,4003,2515,3208,2582,2295
ID=FBgn0030871,654,1120,1296,504,782,820,779
ID=FBgn0030872,440,698,864,358,630,527,617
ID=FBgn0030873,1238,1954,2562,1454,1830,1979,2045
ID=FBgn0030874,150,261,333,156,216,259,217
ID=FBgn0030876,169,155,202,195,134,169,173
ID=FBgn0030877,616,994,1376,622,975,895,780
ID=FBgn0030878,746,1360,1883,824,1432,1251,1290
ID=FBgn0030882,2111,1771,2236,2551,2186,2098,2023
ID=FBgn0030883,139,227,283,188,211,176,231
ID=FBgn0030884,106,139,179,79,85,76,61
ID=FBgn0030890,1755,2233,2811,1575,2064,1991,2238
ID=FBgn0030891,509,803,1095,546,789,741,653
ID=FBgn0030892,317,423,586,430,505,478,418
ID=FBgn0030893,1730,2894,3775,1854,2346,2287,2275
ID=FBgn0030894,1034,1185,1597,1161,1404,1150,1324
ID=FBgn0030915,144,340,399,155,283,261,245
ID=FBgn0030930,1735,2427,3047,1583,2200,2056,2118
ID=FBgn0030941,1115,1703,2139,1518,2090,1662,1585
ID=FBgn0030943,790,1050,1281,694,934,813,1056
ID=FBgn0030944,681,841,1062,612,776,756,687
ID=FBgn0030945,202,495,594,217,531,457,365
ID=FBgn0030946,2033,3540,4646,1951,3374,2946,2851
ID=FBgn0030955,3518,6229,8548,3831,5757,6170,6077
ID=FBgn0030956,351,467,674,295,420,424,589
ID=FBgn0030958,160,52,38,134,31,32,505
ID=FBgn0030959,338,631,883,322,622,500,527
ID=FBgn0030960,209,264,309,273,326,357,359
ID=FBgn0030963,63,141,215,85,128,137,150
ID=FBgn0030966,211,481,573,164,267,276,215
ID=FBgn0030968,73,151,210,65,90,140,128
ID=FBgn0030969,497,763,990,541,686,740,746
ID=FBgn0030970,400,598,856,393,632,565,558
ID=FBgn0030973,850,1140,1591,907,1235,1111,984
ID=FBgn0030974,874,1797,2334,1212,2346,2028,1562
ID=FBgn0030990,1884,2615,3745,2276,3164,3075,2505
ID=FBgn0030991,3092,5066,6962,3124,4793,3958,4159
ID=FBgn0030992,129,228,300,147,294,234,193
ID=FBgn0030993,2084,4286,5583,2599,5678,5522,4694
ID=FBgn0030995,65,156,211,98,137,143,130
ID=FBgn0030996,879,1378,1884,897,1137,1250,1388
ID=FBgn0031002,495,711,1004,530,742,836,334
ID=FBgn0031003,319,492,591,267,392,336,336
ID=FBgn0031006,1362,2292,2664,1550,2789,2061,1925
ID=FBgn0031008,421,966,1301,529,956,950,807
ID=FBgn0031011,4776,6151,7817,5600,7219,5729,6564
ID=FBgn0031012,723,1107,1495,1097,1472,1434,1474
ID=FBgn0031016,4913,580,693,2778,1092,646,648
ID=FBgn0031020,1569,3059,3796,1958,2944,2832,2654
ID=FBgn0031021,336,536,628,429,676,622,442
ID=FBgn0031022,231,420,519,203,393,384,275
ID=FBgn0031023,2858,4663,5673,3243,5147,3961,3500
ID=FBgn0031030,3977,6248,7899,4589,6870,5863,5863
ID=FBgn0031034,51,90,129,69,128,118,130
ID=FBgn0031036,252,440,597,320,458,536,436
ID=FBgn0031037,708,864,1100,598,753,730,857
ID=FBgn0031038,307,542,668,362,569,579,469
ID=FBgn0031039,307,542,668,362,569,579,469
ID=FBgn0031040,198,241,242,248,186,220,236
ID=FBgn0031041,285,432,489,386,409,361,407
ID=FBgn0031043,507,553,796,695,579,589,696
ID=FBgn0031044,342,528,708,407,607,613,590
ID=FBgn0031045,51,74,87,57,107,109,97
ID=FBgn0031047,1415,2386,3246,1372,1742,1789,1699
ID=FBgn0031048,775,1434,1957,705,1050,1003,935
ID=FBgn0031049,704,661,766,313,320,434,632
ID=FBgn0031050,375,616,858,382,596,627,549
ID=FBgn0031051,1548,2736,3382,1649,2738,2345,2063
ID=FBgn0031052,1648,2618,3131,1690,2483,2033,2092
ID=FBgn0031053,312,680,918,320,594,451,525
ID=FBgn0031054,482,680,877,656,722,654,714
ID=FBgn0031055,1543,3196,4499,2409,4614,4762,4465
ID=FBgn0031057,4347,4704,5641,4819,5433,4535,4478
ID=FBgn0031058,105,113,171,125,133,130,116
ID=FBgn0031059,160,192,263,169,93,159,138
ID=FBgn0031060,236,514,570,226,512,374,381
ID=FBgn0031061,373,812,1073,506,793,794,553
ID=FBgn0031062,392,565,737,496,608,677,559
ID=FBgn0031066,2898,4278,5750,3834,3519,3962,3975
ID=FBgn0031068,459,647,935,439,513,447,431
ID=FBgn0031069,2265,3860,4938,2223,3455,3383,4047
ID=FBgn0031070,750,1410,1696,501,944,867,900
ID=FBgn0031077,1017,2076,2364,927,1856,1663,1719
ID=FBgn0031078,3937,8171,9871,3762,7247,6277,7425
ID=FBgn0031080,774,1590,2265,695,1436,1581,1089
ID=FBgn0031089,221,330,418,243,423,336,329
ID=FBgn0031090,1976,2340,3009,2578,2446,2174,2294
ID=FBgn0031091,445,860,899,366,692,640,714
ID=FBgn0031092,497,711,861,534,684,666,676
ID=FBgn0031093,355,610,784,340,545,521,494
ID=FBgn0031094,368,396,513,272,337,369,412
ID=FBgn0031097,56,93,131,112,150,161,128
ID=FBgn0031098,363,600,714,374,597,607,580
ID=FBgn0031106,273,660,903,371,662,672,523
ID=FBgn0031107,2158,4491,5027,2103,4269,3128,2954
ID=FBgn0031114,974,1405,1883,1109,1268,1205,867
ID=FBgn0031115,462,675,953,463,644,578,552
ID=FBgn0031117,320,538,869,165,257,316,270
ID=FBgn0031118,2707,3686,4616,3405,4664,3329,2911
ID=FBgn0031119,293,364,499,267,339,280,318
ID=FBgn0031126,412,411,531,600,629,542,602
ID=FBgn0031127,139,132,151,193,171,159,181
ID=FBgn0031143,701,794,1171,580,553,731,740
ID=FBgn0031144,830,968,1420,943,1013,865,858
ID=FBgn0031145,2520,2125,2765,3087,2065,2354,2792
ID=FBgn0031146,119,114,130,106,83,96,97
ID=FBgn0031148,2415,4422,6218,1900,2807,3071,2885
ID=FBgn0031149,4546,6734,8660,4146,5778,5633,6270
ID=FBgn0031150,2750,2558,3426,2026,2045,1749,1597
ID=FBgn0031157,367,559,681,374,409,428,359
ID=FBgn0031161,709,841,1098,651,768,730,751
ID=FBgn0031169,2303,2850,3481,2308,2907,2620,3012
ID=FBgn0031170,951,1128,1259,1264,1510,1257,1272
ID=FBgn0031171,3160,4663,5820,3203,3588,4062,4112
ID=FBgn0031174,1554,2517,3321,1797,2858,2588,2112
ID=FBgn0031183,415,523,677,530,627,588,720
ID=FBgn0031184,199,159,212,153,104,130,162
ID=FBgn0031187,3721,4041,5001,3711,4113,3406,3906
ID=FBgn0031188,373,432,692,417,481,456,472
ID=FBgn0031189,162,226,288,163,205,196,214
ID=FBgn0031190,1561,1823,2310,1735,2182,1931,1949
ID=FBgn0031191,469,583,603,576,560,551,606
ID=FBgn0031194,779,912,1239,790,1083,921,880
ID=FBgn0031195,1572,1840,2426,1712,2254,1827,1735
ID=FBgn0031213,1157,892,1065,894,1069,977,1129
ID=FBgn0031216,1017,711,774,952,883,675,1020
ID=FBgn0031217,828,1080,1492,781,882,1062,1251
ID=FBgn0031220,3700,3569,4071,3075,3029,2787,3268
ID=FBgn0031224,350,471,560,400,366,407,366
ID=FBgn0031227,134,113,102,151,109,109,166
ID=FBgn0031228,9583,10482,12683,10145,10906,10740,11034
ID=FBgn0031229,516,433,596,524,473,535,577
ID=FBgn0031231,213,246,343,182,177,256,268
ID=FBgn0031233,322,353,378,333,405,342,331
ID=FBgn0031235,180,216,205,201,218,175,177
ID=FBgn0031238,274,394,488,307,342,336,319
ID=FBgn0031244,282,287,411,259,290,299,336
ID=FBgn0031245,256,293,383,166,181,218,170
ID=FBgn0031247,156,201,254,164,129,174,120
ID=FBgn0031250,518,597,654,521,632,625,606
ID=FBgn0031252,382,478,614,541,514,479,498
ID=FBgn0031253,199,239,266,177,162,235,275
ID=FBgn0031256,1523,2074,2809,1422,2049,2150,1798
ID=FBgn0031257,1191,2047,2454,1339,1922,1597,1382
ID=FBgn0031258,139,100,118,281,295,224,247
ID=FBgn0031260,1976,3096,3986,2046,2709,2879,2890
ID=FBgn0031261,1178,2825,3847,2180,4270,4313,3454
ID=FBgn0031263,1759,2105,2885,1407,1710,1826,1425
ID=FBgn0031265,516,629,794,555,576,614,535
ID=FBgn0031266,1293,1818,2090,1442,1969,1722,1671
ID=FBgn0031267,410,578,731,510,621,713,637
ID=FBgn0031268,187,203,272,97,135,111,132
ID=FBgn0031281,193,246,381,195,229,221,234
ID=FBgn0031282,147,157,218,152,155,195,181
ID=FBgn0031284,254,253,334,192,205,259,285
ID=FBgn0031285,2340,3536,4531,3729,4526,4818,4092
ID=FBgn0031286,252,454,552,291,434,428,307
ID=FBgn0031287,201,293,408,237,273,310,250
ID=FBgn0031298,921,1443,1961,976,1465,1390,1144
ID=FBgn0031299,162,176,225,176,207,194,204
ID=FBgn0031304,1116,1948,2716,1591,2346,2292,1896
ID=FBgn0031307,1568,3080,4177,1066,1942,1926,1226
ID=FBgn0031309,320,541,862,437,577,535,491
ID=FBgn0031310,1153,1230,1670,1008,1048,1056,1096
ID=FBgn0031312,884,1788,2459,989,1762,1777,1429
ID=FBgn0031313,893,1483,1887,1375,2400,2262,2109
ID=FBgn0031314,339,543,689,399,470,549,445
ID=FBgn0031315,267,274,350,242,202,301,236
ID=FBgn0031317,829,991,1344,941,860,933,707
ID=FBgn0031318,1183,1983,2665,1428,1983,1849,1533
ID=FBgn0031319,655,921,1135,638,910,877,864
ID=FBgn0031320,179,366,373,183,265,244,337
ID=FBgn0031321,159,327,476,193,393,390,338
ID=FBgn0031322,191,264,455,544,705,781,639
ID=FBgn0031327,812,1490,1796,371,711,732,399
ID=FBgn0031344,185,248,303,200,294,283,240
ID=FBgn0031351,138,119,120,86,81,114,105
ID=FBgn0031356,941,1690,2102,938,1609,1598,1988
ID=FBgn0031357,188,360,477,207,321,382,378
ID=FBgn0031359,430,572,695,791,1108,950,889
ID=FBgn0031360,542,911,1252,423,726,875,887
ID=FBgn0031361,101,152,167,157,123,137,149
ID=FBgn0031374,1329,1933,2320,2136,3644,2815,3603
ID=FBgn0031377,629,940,1208,755,1031,905,825
ID=FBgn0031378,136,165,222,131,135,151,158
ID=FBgn0031379,943,1387,1874,1097,1297,1393,1512
ID=FBgn0031381,3709,5022,6505,2728,4267,4913,4769
ID=FBgn0031384,93,158,145,83,85,103,117
ID=FBgn0031389,2663,2247,2492,2677,2647,3114,4381
