	sampleGSM461176	sampleGSM461177	sampleGSM461178	sampleGSM461179	sampleGSM461180	sampleGSM461181	sampleGSM461182
ID=FBgn0025456	18	36	41	58	70	43	43
ID=FBgn0025457	1325	1598	1580	1273	1763	2319	1811
ID=FBgn0025463	2354	3151	2966	2219	2972	4025	2693
ID=FBgn0025469	498	561	595	360	589	688	698
ID=FBgn0025519	403	632	648	404	785	1015	711
ID=FBgn0025525	153	137	109	264	216	195	109
ID=FBgn0025549	587	468	410	487	441	582	468
ID=FBgn0025558	277	248	327	301	249	331	236
ID=FBgn0025571	1625	2766	2357	1221	2353	2821	2172
ID=FBgn0025573	0	0	0	0	0	2	0
ID=FBgn0025574	1183	1379	856	1251	1085	1214	1038
ID=FBgn0025578	1	7	5	3	2	8	6
ID=FBgn0025582	4757	5588	6673	4060	6055	7971	5874
ID=FBgn0025583	0	0	0	0	0	0	0
ID=FBgn0025592	1306	1458	1473	1174	1531	1844	1473
ID=FBgn0025595	4	2	4	1	4	6	3
ID=FBgn0025608	1781	2067	2100	1492	1946	2662	1829
ID=FBgn0025612	0	0	0	0	0	0	0
ID=FBgn0025613	0	0	0	0	0	0	0
ID=FBgn0025615	1677	1475	1645	1314	1568	2075	1531
ID=FBgn0025616	17	12	23	11	22	9	18
ID=FBgn0025620	1	7	4	3	2	5	2
ID=FBgn0025621	477	726	645	470	708	941	596
ID=FBgn0025624	824	1126	1396	919	1220	1637	1512
ID=FBgn0025625	317	613	423	238	388	555	412
ID=FBgn0025626	1520	2377	2151	1484	2488	3435	1890
ID=FBgn0025627	26	26	25	24	26	30	26
ID=FBgn0025629	666	933	1065	649	1099	1285	898
ID=FBgn0025630	414	652	593	496	804	937	606
ID=FBgn0025631	1187	1496	1152	1036	1392	1618	1564
ID=FBgn0025632	1353	1709	1375	1264	1680	1904	1823
ID=FBgn0025633	836	1250	1041	875	1205	1434	1031
ID=FBgn0025634	246	305	358	179	315	371	229
ID=FBgn0025635	102	166	169	122	166	202	131
ID=FBgn0025637	1643	1424	1580	1444	1426	2058	1422
ID=FBgn0025638	547	618	708	624	756	1059	714
ID=FBgn0025639	1188	1593	1284	964	1359	1748	1161
ID=FBgn0025640	309	514	444	295	500	636	360
ID=FBgn0025641	704	1099	865	834	1357	1684	1187
ID=FBgn0025642	66	102	86	85	133	137	102
ID=FBgn0025643	13	19	16	16	25	24	19
ID=FBgn0025644	2	0	0	0	2	0	3
ID=FBgn0025645	1	0	0	0	1	2	0
ID=FBgn0025674	2787	2979	2826	2649	3122	3911	2992
ID=FBgn0025676	521	441	394	500	424	517	462
ID=FBgn0025678	8410	11167	11524	11547	16610	21370	9685
ID=FBgn0025679	0	0	0	0	1	0	0
ID=FBgn0025680	1	0	0	0	0	2	2
ID=FBgn0025681	3238	5530	4683	2103	3821	4867	4993
ID=FBgn0025682	9263	11991	13187	6037	10252	13822	10915
ID=FBgn0025684	798	1069	1129	850	1104	1410	1187
ID=FBgn0025686	3	0	4	2	0	4	5
ID=FBgn0025692	82	82	49	98	82	129	85
ID=FBgn0025693	1227	1237	1127	1013	960	1092	1680
ID=FBgn0025697	70	99	100	66	85	90	124
ID=FBgn0025700	709	1087	1254	751	1570	2121	1287
ID=FBgn0025702	114	121	115	143	145	197	112
ID=FBgn0025709	3	4	4	3	9	6	1
ID=FBgn0025712	31	35	45	56	24	50	66
ID=FBgn0025716	836	1094	1262	909	1184	1452	1137
ID=FBgn0025720	575	920	871	561	758	1104	851
ID=FBgn0025724	3981	5610	5497	3743	5569	7092	4932
ID=FBgn0025725	5207	8078	7822	4478	8476	10166	7578
ID=FBgn0025726	5845	5690	4208	8539	6127	6811	6192
ID=FBgn0025739	446	608	547	427	776	1075	474
ID=FBgn0025740	1951	1708	1346	1580	1122	1088	2429
ID=FBgn0025741	3444	3199	2386	4400	2830	2874	4534
ID=FBgn0025742	953	1435	1511	902	1624	2259	1303
ID=FBgn0025743	816	1291	1122	868	1093	1606	1000
ID=FBgn0025776	5	0	0	1	2	0	2
ID=FBgn0025777	775	996	863	712	931	1156	1092
ID=FBgn0025781	276	434	367	373	401	589	452
ID=FBgn0025790	851	1201	1285	756	1217	1451	1204
ID=FBgn0025800	2878	3052	2376	2466	2384	3001	2577
ID=FBgn0025802	1610	1875	1770	1460	1975	2039	1826
ID=FBgn0025807	244	217	235	265	242	280	265
ID=FBgn0025808	146	162	158	194	205	227	182
ID=FBgn0025809	207	211	208	269	227	284	205
ID=FBgn0025814	1112	1370	1474	919	1595	1858	1536
ID=FBgn0025815	1448	2651	2608	1477	3212	3819	2495
ID=FBgn0025820	212	216	288	317	377	396	308
ID=FBgn0025821	0	1	0	0	0	0	0
ID=FBgn0025825	762	895	962	777	1052	1298	959
ID=FBgn0025827	1	0	0	0	0	0	1
ID=FBgn0025832	455	574	567	532	536	685	667
ID=FBgn0025833	39	65	67	41	79	89	87
ID=FBgn0025835	18	15	8	29	11	5	10
ID=FBgn0025836	111	120	120	42	68	68	210
ID=FBgn0025837	0	0	0	0	0	0	0
ID=FBgn0025838	6	20	9	8	11	10	4
ID=FBgn0025839	406	506	549	417	612	901	451
ID=FBgn0025864	3763	6496	5490	3711	6677	8029	5269
ID=FBgn0025865	3487	6306	5687	3991	7472	9841	5225
ID=FBgn0025866	810	1736	1432	793	1633	1885	1376
ID=FBgn0025874	288	345	336	310	347	474	338
ID=FBgn0025878	2	6	0	0	4	2	0
ID=FBgn0025879	10	28	10	9	11	16	8
ID=FBgn0025881	0	1	0	5	1	0	3
ID=FBgn0025882	3	0	3	1	0	0	3
ID=FBgn0025885	12891	21976	21750	14658	28111	37360	20575
ID=FBgn0025936	1394	1140	1011	1844	1094	1280	1725
ID=FBgn0026015	1198	2100	1836	1186	2235	2897	1539
ID=FBgn0026056	293	394	412	300	433	488	355
ID=FBgn0026058	151	241	228	179	262	311	182
ID=FBgn0026059	1119	1723	1320	1062	1584	1985	1285
ID=FBgn0026060	1471	2277	1941	1261	1970	2389	1707
ID=FBgn0026061	6	8	13	6	2	2	10
ID=FBgn0026063	335	441	308	179	262	358	182
ID=FBgn0026064	335	441	308	179	262	358	182
ID=FBgn0026076	766	659	699	613	610	787	696
ID=FBgn0026077	1	2	2	1	8	6	0
ID=FBgn0026079	492	872	885	449	966	1220	765
ID=FBgn0026080	548	652	654	543	667	884	659
ID=FBgn0026083	4390	6483	4989	4596	7308	8612	4479
ID=FBgn0026084	1036	808	762	1222	1168	1540	1115
ID=FBgn0026085	230	198	219	191	261	336	206
ID=FBgn0026086	1348	1512	1215	1402	1248	1300	1836
ID=FBgn0026088	466	485	620	594	679	865	653
ID=FBgn0026089	581	502	635	450	596	757	585
ID=FBgn0026090	804	859	942	645	739	1031	898
ID=FBgn0026136	1	0	0	0	0	0	0
ID=FBgn0026141	0	0	0	0	0	0	0
ID=FBgn0026143	265	472	472	214	338	451	406
ID=FBgn0026144	29	36	15	21	9	19	9
ID=FBgn0026147	814	884	821	764	902	975	1099
ID=FBgn0026148	79	48	69	72	70	100	61
ID=FBgn0026149	259	303	322	347	330	429	299
ID=FBgn0026150	642	1078	1071	937	1476	1817	1071
ID=FBgn0026160	2447	3355	2571	1624	2241	2892	1488
ID=FBgn0026162	0	0	0	1	0	0	0
ID=FBgn0026163	0	0	0	0	0	0	0
ID=FBgn0026164	0	0	0	0	0	0	0
ID=FBgn0026169	2	4	2	3	9	3	2
ID=FBgn0026174	59	20	23	69	39	42	14
ID=FBgn0026175	331	316	394	331	399	550	281
ID=FBgn0026176	16	21	17	16	22	16	31
ID=FBgn0026179	587	666	480	831	935	1094	410
ID=FBgn0026181	3823	5989	4743	3399	5101	6415	4797
ID=FBgn0026189	9684	13669	11465	13230	17750	21108	15804
ID=FBgn0026190	1	0	0	0	0	0	0
ID=FBgn0026192	1589	1526	1512	1640	1731	2192	1729
ID=FBgn0026196	1592	2697	2565	1533	2515	3214	2423
ID=FBgn0026197	85	107	54	89	55	89	19
ID=FBgn0026199	1876	1524	1318	2189	1172	1404	2327
ID=FBgn0026206	3179	3752	2835	3121	3271	4061	2629
ID=FBgn0026207	566	627	699	592	711	920	653
ID=FBgn0026238	842	901	737	1153	640	860	1059
ID=FBgn0026239	73	109	103	70	108	120	89
ID=FBgn0026250	4806	5264	5250	3760	4953	6885	4474
ID=FBgn0026252	8905	10781	10707	7742	10867	13478	10894
ID=FBgn0026255	9	13	20	22	10	26	14
ID=FBgn0026257	199	173	142	233	169	195	189
ID=FBgn0026259	7030	9965	8497	6155	8256	10911	7425
ID=FBgn0026261	377	380	444	341	466	572	506
ID=FBgn0026262	1854	1281	1108	1699	907	1125	1493
ID=FBgn0026263	191	200	213	174	228	285	188
ID=FBgn0026268	4	11	4	3	4	8	3
ID=FBgn0026309	468	503	513	518	530	703	609
ID=FBgn0026313	2039	2787	2745	2022	2969	3637	2792
ID=FBgn0026314	3	2	2	1	5	0	2
ID=FBgn0026315	1359	1478	1472	1224	1285	1524	1543
ID=FBgn0026316	715	636	687	701	761	842	725
ID=FBgn0026319	676	778	704	814	946	1178	490
ID=FBgn0026320	0	0	0	1	0	0	0
ID=FBgn0026323	1682	2438	2160	1215	1857	2619	2276
ID=FBgn0026324	193	232	318	226	311	390	334
ID=FBgn0026326	578	688	639	555	727	874	696
ID=FBgn0026361	267	369	341	301	389	569	317
ID=FBgn0026369	1343	2075	1892	1033	1753	2098	1760
ID=FBgn0026371	359	427	348	483	432	509	480
ID=FBgn0026372	66928	95883	91833	48043	80843	102718	80726
ID=FBgn0026373	464	569	644	447	704	861	527
ID=FBgn0026374	259	360	362	241	407	502	362
ID=FBgn0026375	3694	4489	3571	3462	3970	5011	3088
ID=FBgn0026376	3725	4025	3201	1837	1536	1866	3280
ID=FBgn0026378	445	502	568	497	655	877	591
ID=FBgn0026379	271	354	259	488	289	321	515
ID=FBgn0026380	1059	1261	1397	1281	1903	2139	1331
ID=FBgn0026384	0	0	0	0	0	0	0
ID=FBgn0026385	1	0	2	0	0	0	0
ID=FBgn0026386	0	0	0	0	0	0	0
ID=FBgn0026388	0	4	3	2	0	4	5
ID=FBgn0026389	0	0	0	0	0	0	0
ID=FBgn0026390	0	2	0	0	0	0	0
ID=FBgn0026391	0	0	0	0	0	0	0
ID=FBgn0026392	1	0	0	0	0	0	0
ID=FBgn0026393	161	190	188	171	255	272	210
ID=FBgn0026394	0	0	0	0	0	0	0
ID=FBgn0026395	0	0	0	0	0	0	0
ID=FBgn0026396	11	10	5	4	6	2	10
ID=FBgn0026397	1	0	0	0	0	0	0
ID=FBgn0026398	0	2	0	2	0	0	0
ID=FBgn0026399	0	0	0	0	0	0	0
ID=FBgn0026400	584	849	852	677	844	1166	831
ID=FBgn0026401	3537	2994	2280	5226	2545	2671	4253
ID=FBgn0026402	291	329	378	230	330	451	350
ID=FBgn0026403	8	13	2	0	8	4	4
ID=FBgn0026404	498	656	693	458	725	827	574
ID=FBgn0026409	7886	12040	12113	6487	10305	13031	12480
ID=FBgn0026411	158	11	3	119	13	6	9
ID=FBgn0026415	23	38	46	66	92	97	33
ID=FBgn0026417	202	250	259	375	292	356	344
ID=FBgn0026418	7824	12505	11977	6281	10484	14242	10860
ID=FBgn0026427	2870	3485	2516	2643	2624	3166	2915
ID=FBgn0026428	548	854	742	466	854	1064	790
ID=FBgn0026430	898	1234	1159	1070	1577	2019	1328
ID=FBgn0026431	424	394	393	558	406	474	528
ID=FBgn0026432	506	504	495	531	590	649	567
ID=FBgn0026433	283	435	467	358	559	693	406
ID=FBgn0026438	0	0	4	1	0	0	0
ID=FBgn0026439	279	425	381	239	303	336	385
ID=FBgn0026441	1249	1479	1254	1010	1317	1594	1152
ID=FBgn0026479	1554	2428	2313	1554	2647	3394	2255
ID=FBgn0026533	4228	6848	5764	3825	5722	7437	5679
ID=FBgn0026562	47666	98148	104993	8568	18176	25098	63656
ID=FBgn0026563	2	0	0	0	0	0	0
ID=FBgn0026565	0	0	0	0	0	0	0
ID=FBgn0026566	652	867	956	741	1064	1330	816
ID=FBgn0026570	380	675	650	407	748	894	808
ID=FBgn0026573	1375	1420	1129	1183	1153	1519	1169
ID=FBgn0026575	6809	9931	7964	5943	8922	11049	7532
ID=FBgn0026576	822	1043	993	623	778	1087	1181
ID=FBgn0026577	5627	6382	4830	4630	5169	6200	4209
ID=FBgn0026582	242	494	488	197	386	548	422
ID=FBgn0026592	26	40	45	22	22	30	21
ID=FBgn0026593	88	133	140	84	136	164	105
ID=FBgn0026597	1633	2295	1899	1502	2089	2530	1966
ID=FBgn0026598	597	616	655	732	788	1004	730
ID=FBgn0026602	188	303	251	164	295	396	173
ID=FBgn0026616	379	520	454	448	516	628	491
ID=FBgn0026619	326	310	339	312	359	470	409
ID=FBgn0026620	3759	3869	3376	3745	3783	4356	4080
ID=FBgn0026630	1216	1302	1262	1163	1128	1471	1483
ID=FBgn0026634	637	763	770	607	804	939	876
ID=FBgn0026666	183	214	244	199	206	341	256
ID=FBgn0026679	678	1078	1023	591	1176	1317	910
ID=FBgn0026702	290	557	469	257	493	670	446
ID=FBgn0026713	1757	3212	2610	1646	3127	3956	2320
ID=FBgn0026718	104	117	131	138	126	143	72
ID=FBgn0026721	4764	6580	7272	2681	4136	5078	4074
ID=FBgn0026722	546	730	698	608	789	932	649
ID=FBgn0026737	202	317	285	253	302	397	247
ID=FBgn0026738	352	348	359	298	398	431	342
ID=FBgn0026741	260	262	290	237	282	338	355
ID=FBgn0026751	797	970	1011	836	921	1337	939
ID=FBgn0026754	0	0	0	0	0	2	1
ID=FBgn0026755	0	0	0	0	0	2	0
ID=FBgn0026756	0	0	0	1	4	1	2
ID=FBgn0026760	35	30	29	11	16	16	29
ID=FBgn0026761	1401	1540	1692	1022	1575	1879	1641
ID=FBgn0026777	1041	921	802	1054	822	994	1261
ID=FBgn0026778	120	134	119	115	120	137	127
ID=FBgn0026787	327	320	377	252	299	380	418
ID=FBgn0026869	3722	3389	2735	3224	2779	3258	3669
ID=FBgn0026872	149	333	334	95	269	383	335
ID=FBgn0026873	433	542	628	459	705	858	579
ID=FBgn0026874	45	64	61	43	34	61	59
ID=FBgn0026876	268	294	324	272	350	410	281
ID=FBgn0026878	4	9	16	7	5	14	8
ID=FBgn0026879	431	363	416	378	395	512	339
ID=FBgn0027052	305	265	273	335	275	329	394
ID=FBgn0027053	825	881	934	840	1168	1365	870
ID=FBgn0027054	551	751	735	492	846	982	625
ID=FBgn0027055	865	1040	948	704	1092	1327	1078
ID=FBgn0027057	576	648	740	538	694	912	637
ID=FBgn0027066	3761	3610	3637	4328	3858	4213	5213
ID=FBgn0027070	48	32	38	43	42	81	31
ID=FBgn0027073	3	4	7	4	6	5	7
ID=FBgn0027074	1	0	2	1	0	0	2
ID=FBgn0027079	2511	4367	3907	2466	4669	5986	3371
ID=FBgn0027080	1359	2024	2092	1278	1874	2507	1825
ID=FBgn0027081	4228	6463	6560	4362	6327	8701	6193
ID=FBgn0027082	158	287	285	216	278	343	283
ID=FBgn0027083	241	368	276	230	288	404	294
ID=FBgn0027084	1575	2477	2717	1526	2792	3452	2437
ID=FBgn0027085	365	509	484	376	559	678	516
ID=FBgn0027086	3517	4178	3793	3256	3363	4002	4472
ID=FBgn0027087	1737	3425	3244	1825	3678	4997	3046
ID=FBgn0027088	1907	3197	3305	2263	3899	4544	3037
ID=FBgn0027090	1307	1637	1546	1189	1640	2086	1450
ID=FBgn0027091	1077	1789	1692	668	1220	1468	1872
ID=FBgn0027093	970	1381	1264	995	1401	1694	1615
ID=FBgn0027094	5512	8011	7936	5619	8763	10799	7267
ID=FBgn0027095	1716	1910	2260	1972	2250	3366	2377
ID=FBgn0027101	792	611	531	913	488	565	915
ID=FBgn0027106	2	2	0	0	6	2	2
ID=FBgn0027107	0	0	0	0	0	2	0
ID=FBgn0027108	458	642	553	405	528	604	733
ID=FBgn0027109	0	0	0	0	0	0	1
ID=FBgn0027111	40	46	35	24	18	14	36
ID=FBgn0027259	376	418	435	421	521	613	467
ID=FBgn0027279	5031	5451	4835	2249	2338	2924	5139
ID=FBgn0027280	6533	7438	7572	5164	7181	9477	5863
ID=FBgn0027287	1619	2029	1707	1295	1714	2072	1558
ID=FBgn0027291	2152	3243	3046	2128	3100	3977	3178
ID=FBgn0027296	245	317	224	211	282	320	312
ID=FBgn0027329	5884	7556	7940	5482	9025	11644	7802
ID=FBgn0027330	731	1055	968	617	1056	1391	1030
ID=FBgn0027334	445	687	673	301	595	706	580
ID=FBgn0027335	10053	14483	12110	9104	13769	17354	12928
ID=FBgn0027338	3900	4131	4224	3172	4220	5409	4334
ID=FBgn0027339	4134	2856	2051	5633	1956	2191	2059
ID=FBgn0027342	285	445	442	327	418	555	482
ID=FBgn0027343	7	5	4	5	9	12	4
ID=FBgn0027348	243	385	379	137	169	271	434
ID=FBgn0027356	1145	1176	994	1005	878	1140	919
ID=FBgn0027358	386	409	361	285	432	489	407
ID=FBgn0027359	465	477	516	480	553	703	536
ID=FBgn0027360	1395	1387	1550	1156	1719	2293	1639
ID=FBgn0027363	1572	2639	2238	1316	2302	2975	2040
ID=FBgn0027364	1	0	2	2	1	0	0
ID=FBgn0027375	1654	1262	1187	1217	768	1015	1432
ID=FBgn0027376	1	0	8	3	2	0	0
ID=FBgn0027378	418	531	549	418	516	729	565
ID=FBgn0027453	668	1091	933	666	1081	1384	1116
ID=FBgn0027490	502	676	694	408	627	732	605
ID=FBgn0027491	18	27	32	20	30	30	18
ID=FBgn0027492	7832	8245	7048	6774	7131	8682	6880
ID=FBgn0027493	3872	7949	7989	3981	8326	11118	6236
ID=FBgn0027494	4	0	1	3	4	10	1
ID=FBgn0027495	1019	1041	1034	780	1101	1481	1036
ID=FBgn0027496	802	1139	1234	835	1227	1677	1290
ID=FBgn0027497	1433	2303	1866	1290	2347	3203	1716
ID=FBgn0027498	194	310	241	237	324	431	261
ID=FBgn0027499	1168	1284	1112	956	982	1304	876
ID=FBgn0027500	895	1054	1054	817	1243	1345	987
ID=FBgn0027503	916	1068	893	752	1107	1216	825
ID=FBgn0027504	1833	1994	1864	1563	2147	2558	1590
ID=FBgn0027505	400	477	487	383	546	631	517
ID=FBgn0027506	608	717	753	464	609	769	654
ID=FBgn0027507	1047	896	842	1153	796	842	1163
ID=FBgn0027508	633	1014	900	591	1043	1278	888
ID=FBgn0027509	1743	2093	2014	1866	2394	2654	2125
ID=FBgn0027512	654	840	844	657	916	1110	966
ID=FBgn0027513	306	356	374	314	361	426	406
ID=FBgn0027514	276	389	407	346	460	623	374
ID=FBgn0027515	362	396	425	631	763	923	364
ID=FBgn0027518	758	1216	1160	648	1109	1380	1215
ID=FBgn0027521	58	92	90	59	117	107	98
ID=FBgn0027524	232	302	274	277	366	425	366
ID=FBgn0027525	2635	4790	4979	1759	3611	4965	3738
ID=FBgn0027526	179	315	400	243	441	606	397
ID=FBgn0027527	1	0	0	2	0	1	0
ID=FBgn0027528	0	12	7	4	6	10	5
ID=FBgn0027529	938	1484	1424	1122	1713	2400	1466
ID=FBgn0027532	1199	1250	1179	966	1071	1493	1009
ID=FBgn0027535	944	1183	1053	888	1174	1312	1202
ID=FBgn0027537	3783	4892	4852	2963	4871	6453	4748
ID=FBgn0027538	196	212	207	187	214	234	233
ID=FBgn0027539	519	656	641	631	627	844	754
ID=FBgn0027544	19	12	10	14	12	21	14
ID=FBgn0027546	1	0	0	0	0	0	0
ID=FBgn0027547	1093	1288	1310	1029	1353	1805	1318
ID=FBgn0027548	1831	2281	2101	1569	2157	2719	2261
ID=FBgn0027549	1174	1499	1592	959	1399	1784	1555
ID=FBgn0027550	224	361	276	130	237	347	269
ID=FBgn0027552	971	1375	1529	486	1075	1599	1574
ID=FBgn0027553	411	568	575	398	560	676	579
ID=FBgn0027554	1058	1433	1437	875	1297	1760	1131
ID=FBgn0027556	506	713	539	607	595	715	427
ID=FBgn0027558	1006	1474	1466	949	1411	1929	1622
ID=FBgn0027560	6	14	10	27	13	23	16
ID=FBgn0027561	2112	3584	2955	1510	2391	3106	2858
ID=FBgn0027562	0	0	0	0	0	0	0
ID=FBgn0027563	12	18	22	17	10	24	18
ID=FBgn0027564	276	399	526	276	593	643	449
ID=FBgn0027565	400	390	455	397	356	477	444
ID=FBgn0027567	2735	3964	3465	2467	3888	5052	3463
ID=FBgn0027568	1755	2429	2484	1538	2548	3206	2340
ID=FBgn0027569	1711	2738	2503	1571	2216	2802	2495
ID=FBgn0027570	29	53	41	20	14	28	35
ID=FBgn0027572	621	987	1003	659	1097	1403	1153
ID=FBgn0027574	526	625	481	413	484	619	489
ID=FBgn0027575	39	57	36	20	37	50	33
ID=FBgn0027578	1629	2006	2068	1024	1565	1919	2447
ID=FBgn0027579	1391	1862	1774	1058	1513	1849	1551
ID=FBgn0027580	1276	2372	1983	681	1184	1623	2022
ID=FBgn0027581	1519	1844	1657	1446	1995	2455	1857
ID=FBgn0027582	2383	2745	2639	2039	2651	3200	2784
ID=FBgn0027583	437	1054	1153	550	1165	1633	1254
ID=FBgn0027584	14	5	5	12	0	16	3
ID=FBgn0027586	0	1	0	0	0	0	0
ID=FBgn0027587	1451	1469	1315	1145	1271	1383	1252
ID=FBgn0027588	5464	6808	6585	4032	6454	8353	6534
ID=FBgn0027589	1	2	0	1	2	4	2
ID=FBgn0027590	601	682	613	325	489	637	753
ID=FBgn0027592	1465	1805	1574	1085	1518	1972	1644
ID=FBgn0027594	7508	12805	10575	4947	8185	10240	9991
ID=FBgn0027596	847	1472	1213	432	734	848	878
ID=FBgn0027597	321	417	442	486	700	890	400
ID=FBgn0027598	6728	9100	7949	6860	9933	13119	6888
ID=FBgn0027599	540	569	472	440	504	674	473
ID=FBgn0027600	0	0	0	0	0	4	2
ID=FBgn0027601	512	800	588	526	505	677	725
ID=FBgn0027602	587	733	662	505	794	961	783
ID=FBgn0027603	2222	2484	2112	1974	2264	2632	2379
ID=FBgn0027607	2150	2830	2765	1703	2501	3295	3006
ID=FBgn0027608	1267	1434	1444	1233	1470	1906	1753
ID=FBgn0027609	714	1026	972	730	930	1318	930
ID=FBgn0027610	1500	2055	2182	1338	1887	2449	2216
ID=FBgn0027611	2377	3386	3481	2452	3765	4416	3904
ID=FBgn0027615	220	246	304	213	371	448	387
ID=FBgn0027616	1792	2563	2277	1625	2387	3163	1827
ID=FBgn0027617	258	264	306	263	270	344	232
ID=FBgn0027619	2611	1900	2073	2137	1895	2762	2352
ID=FBgn0027620	2698	3020	2512	2103	2283	2734	2655
ID=FBgn0027621	1011	1733	1275	877	1147	1489	1294
ID=FBgn0027654	51	29	49	37	28	40	38
ID=FBgn0027655	2721	4419	3286	2459	3777	4403	3510
ID=FBgn0027657	562	495	599	348	418	543	588
ID=FBgn0027660	177	242	199	190	190	249	194
ID=FBgn0027779	1936	2674	2873	1846	2577	3460	2811
ID=FBgn0027780	300	429	488	322	466	609	534
ID=FBgn0027783	1780	2132	1923	1588	1824	2231	2025
ID=FBgn0027784	171	216	216	153	215	310	196
ID=FBgn0027785	1100	1306	1433	1067	1592	1972	1182
ID=FBgn0027786	1167	1324	1379	1278	1555	1936	1604
ID=FBgn0027788	4	3	0	1	3	6	1
ID=FBgn0027790	0	2	2	0	4	0	0
ID=FBgn0027791	632	1227	1122	493	1142	1309	814
ID=FBgn0027793	20	30	42	16	52	43	32
ID=FBgn0027794	605	1134	1013	548	1066	1398	868
ID=FBgn0027795	62	72	101	38	103	161	92
ID=FBgn0027835	9534	11729	11042	8054	12380	14713	12129
ID=FBgn0027836	2455	3620	3429	3225	5643	7330	3433
ID=FBgn0027841	205	288	287	242	336	411	213
ID=FBgn0027843	654	752	912	905	1148	1536	619
ID=FBgn0027844	65	94	90	54	65	127	90
ID=FBgn0027864	165	113	133	132	86	142	150
ID=FBgn0027865	1113	851	734	1548	1008	1161	863
ID=FBgn0027866	2490	2507	2418	2109	2313	2805	2239
ID=FBgn0027868	1419	2554	2472	1138	2425	2981	2144
ID=FBgn0027872	134	116	207	162	191	290	213
ID=FBgn0027873	682	825	942	714	868	1117	816
ID=FBgn0027889	1111	1404	1439	1253	1833	2141	1389
ID=FBgn0027903	504	661	613	498	675	864	714
ID=FBgn0027929	290	685	659	489	885	1222	636
ID=FBgn0027930	1343	1452	1506	1429	1646	2186	1642
ID=FBgn0027932	14713	17485	15015	15852	19540	25987	15233
ID=FBgn0027934	0	0	0	0	0	0	0
ID=FBgn0027945	234	190	174	282	273	437	247
ID=FBgn0027948	8706	9603	7787	9874	11210	12167	8870
ID=FBgn0027949	1249	1438	1526	1707	2522	3070	1361
ID=FBgn0027950	373	452	523	352	570	797	494
ID=FBgn0027951	2522	3244	2560	1948	2807	3379	2631
ID=FBgn0028292	559	698	677	462	736	872	655
ID=FBgn0028325	2701	3800	3791	1703	3255	4084	3474
ID=FBgn0028327	3472	3917	4071	4695	6434	8325	3970
ID=FBgn0028331	9766	11466	10141	7912	9849	12479	9624
ID=FBgn0028341	1101	1769	1306	910	1451	1732	1282
ID=FBgn0028342	1154	1606	1669	1185	1919	2635	2044
ID=FBgn0028343	1683	2615	2455	1775	2710	3544	2347
ID=FBgn0028360	715	780	623	677	968	1228	732
ID=FBgn0028369	10276	4819	4135	16646	4975	5546	5905
ID=FBgn0028370	8	8	4	8	16	9	8
ID=FBgn0028372	259	304	294	305	327	451	331
ID=FBgn0028374	0	0	0	1	0	0	1
ID=FBgn0028375	815	880	720	935	1051	1245	998
ID=FBgn0028377	43	66	50	53	28	34	57
ID=FBgn0028379	15	18	9	12	7	16	4
ID=FBgn0028380	556	626	585	551	531	682	752
ID=FBgn0028381	1	2	0	2	2	2	2
ID=FBgn0028382	281	251	342	259	336	434	324
ID=FBgn0028387	508	511	481	432	460	596	478
ID=FBgn0028394	174	212	238	125	111	194	252
ID=FBgn0028396	7	10	10	5	6	4	12
ID=FBgn0028397	653	670	464	395	337	404	542
ID=FBgn0028398	371	492	508	264	467	622	498
ID=FBgn0028399	2591	4144	4479	2360	3364	4636	4480
ID=FBgn0028400	0	0	0	0	0	0	0
ID=FBgn0028402	314	408	411	298	464	555	393
ID=FBgn0028406	257	252	225	241	254	276	276
ID=FBgn0028407	4	2	1	2	2	0	3
ID=FBgn0028408	77	89	73	62	59	45	67
ID=FBgn0028410	0	0	0	1	0	0	0
ID=FBgn0028411	375	405	518	492	605	858	618
ID=FBgn0028412	0	0	0	0	0	0	0
ID=FBgn0028415	0	0	0	0	0	0	0
ID=FBgn0028416	0	0	0	0	0	0	0
ID=FBgn0028418	10	8	9	6	7	24	8
ID=FBgn0028421	615	917	817	674	924	1154	871
ID=FBgn0028422	1	0	4	1	0	2	1
ID=FBgn0028424	1094	1292	1395	1031	1283	2063	1008
ID=FBgn0028425	3951	4899	4611	2948	4187	5426	6005
ID=FBgn0028426	774	763	746	605	706	933	800
ID=FBgn0028427	1023	963	1075	953	1224	1597	1024
ID=FBgn0028429	761	683	602	657	571	774	758
ID=FBgn0028430	2705	1358	1502	2786	1398	1811	3669
ID=FBgn0028434	74	60	107	133	164	221	111
ID=FBgn0028436	224	237	257	191	327	366	257
ID=FBgn0028467	1243	1494	1372	1048	1438	1636	1483
ID=FBgn0028468	722	1158	1383	817	1258	1635	1633
ID=FBgn0028471	850	953	868	740	959	1183	790
ID=FBgn0028473	23141	34344	37445	13379	24318	32513	26430
ID=FBgn0028474	1609	2437	2021	1385	2195	2770	1877
ID=FBgn0028475	1470	1866	1813	1305	2019	2727	1833
ID=FBgn0028476	1001	1348	1140	1004	1267	1543	1226
ID=FBgn0028479	2628	4326	4140	2402	3741	4469	3994
ID=FBgn0028480	2078	3046	2822	1719	2627	3464	2919
ID=FBgn0028481	1	3	2	5	5	0	1
ID=FBgn0028482	102	132	137	66	80	96	59
ID=FBgn0028484	1236	1821	1666	1143	1685	2325	1396
